=== 2026-07-04T02:59:58.545269+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --resume-run-dir D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 --extend-epochs 8 --loss mse --reset-optimizer-scheduler

2026-07-03 23:00:13,372 | INFO | Loss logging: active=mse; every epoch records train/val mse, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-03 23:00:14,380 | INFO | Resumed model weights from D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701\training_state_latest.pt at epoch=12; reset optimizer/scheduler to lr=2.000e-03 gamma=0.9 (not restoring saved optimizer state).
2026-07-03 23:00:14,383 | INFO | Run started | run_name=NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 run_id=NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=13..20
2026-07-03 23:00:14,383 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMSE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260701\main_process_fault.log
E13/20 B26400/36000 batch_loss=1.3411e-04
E13/20 B26500/36000 batch_loss=1.5325e-04
E13/20 B26600/36000 batch_loss=1.4218e-04
E13/20 B26700/36000 batch_loss=1.3110e-04
E13/20 B26800/36000 batch_loss=1.2901e-04
E13/20 B26900/36000 batch_loss=1.3976e-04
E13/20 B27000/36000 batch_loss=1.4643e-04
E13/20 B27100/36000 batch_loss=1.3689e-04
E13/20 B27200/36000 batch_loss=1.3951e-04
E13/20 B27300/36000 batch_loss=1.4016e-04
E13/20 B27400/36000 batch_loss=1.3496e-04
E13/20 B27500/36000 batch_loss=1.4199e-04
E13/20 B27600/36000 batch_loss=1.4563e-04
E13/20 B27700/36000 batch_loss=1.3066e-04
E13/20 B27800/36000 batch_loss=1.2478e-04
E13/20 B27900/36000 batch_loss=1.4226e-04
E13/20 B28000/36000 batch_loss=1.5235e-04
E13/20 B28100/36000 batch_loss=1.3428e-04
E13/20 B28200/36000 batch_loss=1.3855e-04
E13/20 B28300/36000 batch_loss=1.4215e-04
E13/20 B28400/36000 batch_loss=1.2783e-04
E13/20 B28500/36000 batch_loss=1.2340e-04
E13/20 B28600/36000 batch_loss=1.3071e-04
E13/20 B28700/36000 batch_loss=1.4079e-04
E13/20 B28800/36000 batch_loss=1.3379e-04
E13/20 B28900/36000 batch_loss=1.2599e-04
E13/20 B29000/36000 batch_loss=1.2947e-04
E13/20 B29100/36000 batch_loss=1.3944e-04
E13/20 B29200/36000 batch_loss=1.4246e-04
E13/20 B29300/36000 batch_loss=1.4694e-04
E13/20 B29400/36000 batch_loss=1.5169e-04
E13/20 B29500/36000 batch_loss=1.2813e-04
E13/20 B29600/36000 batch_loss=1.2181e-04
E13/20 B29700/36000 batch_loss=1.3895e-04
E13/20 B29800/36000 batch_loss=1.4359e-04
E13/20 B29900/36000 batch_loss=1.6780e-04
E13/20 B30000/36000 batch_loss=1.2937e-04
E13/20 B30100/36000 batch_loss=1.4043e-04
E13/20 B30200/36000 batch_loss=1.4076e-04
E13/20 B30300/36000 batch_loss=1.2181e-04
E13/20 B30400/36000 batch_loss=1.2380e-04
E13/20 B30500/36000 batch_loss=1.4259e-04
E13/20 B30600/36000 batch_loss=1.3417e-04
E13/20 B30700/36000 batch_loss=1.2331e-04
E13/20 B30800/36000 batch_loss=1.1552e-04
